Q10,Label
2016 Summer Olympic Games,Rio de Janeiro
Overrated,New York City
"â€œWhen you see some sun,Â ParisÂ is the most beautiful city in the world. It brings tears to your eyes""",Paris
"In Dubai, we donâ€™t wait for things to happen, we make them happen.",Dubai
luxury,Paris
The city that never sleeps,New York City
"Concrete jungle where dreams are made of

theres nothing you canâ€™t do",New York City
Alot of crime.,Rio de Janeiro
The best food in France is made in Paris,Paris
The first city that comes to my mind when someone says Brazil.Â ,Rio de Janeiro
"""The concrete jungle where dreams are made of""",New York City
we shall not surrender,Paris
passionate soccer/football fans.Â ,Rio de Janeiro
"""C'est la vie""",Paris
Eiffel Tower,Paris
Living the dream.,Dubai
"We don't want a torch, we want our homes",Rio de Janeiro
rio is where the gang is,Rio de Janeiro
Eiffel Tower,Paris
Louvre Museum,Paris
"In Rio de Janeiro, every cop has to make a choice. He either turns dirty, keeps his mouth, or goes to war.",Rio de Janeiro
It's a beautiful day,Rio de Janeiro
Metropolis,New York City
"Nothing in particular, I don't know much about Dubai.",Dubai
"A sibling is the one person you rely on, fight with, and love unconditionally.",Dubai
"""Where tradition and the present meet the future""",Dubai
Money doesnâ€™t buy happiness,Dubai
The Big Apple,New York City
Paris is always a good idea,Paris
The Burj Khalifa is huge.,Dubai
City of love,Paris
3,New York City
"Oh, Rio de Janeiro, let me get lost in your rhythm.",Rio de Janeiro
"""In the city of love""",Paris
"When good Americans die, they go to Paris.",Paris
"Racist, conservative, musical, historical, eurocentric.",Paris
"Strength lies in differences, not similarities.",Dubai
"Beyond the clouds, the worldâ€™s tallest tower inspires guests to dream bigger and reach higher",Dubai
A nation's culture resides in the hearts and in the souls of its people.,Paris
"How do you tell how good bread is without tasting it? Not the smell, not the look, but the sound of the crust",Paris
Urban development,Dubai
"""forget about it""",New York City
"paris is the city of love

Â ",Paris
Concrete Jungle where dreams are made of.,New York City
"Crowded concrete jungle, constantly active",New York City
"""In New York (Ayy, ow, uh, yeah) Concrete jungle where dreams are made of."" - Alicia Keys",New York City
luxury,Dubai
Habibi come to Dubai,Dubai
Oui Oui Baguette Eiffel Tower,Paris
Concrete jungles where dreams are made of,New York City
dirty,New York City
Something about airlines,Dubai
now your in new york - empire state of mind,New York City
Feels like a dream or like a movie.,New York City
"Summer, sunny, beaches.",Rio de Janeiro
"""The city of love""",Paris
new york is the center of america,New York City
The City of Samba.,Rio de Janeiro
Fancy,New York City
Dreams are made of sun and feijoada.,Rio de Janeiro
nothing,Rio de Janeiro
The city of love.,Paris
City that never sleeps,New York City
"""is not a city; it's a world""",Paris
The city of love,Paris
"If you are lucky enough to have lived in Paris as a young man, then wherever you go for the rest of your life, it stays with you, for Paris is a moveable feast.",Paris
taxes are bad,Dubai
"""The city that never sleeps""",New York City
fun place idk,Rio de Janeiro
Live like tomorrow never comes.,Rio de Janeiro
Anyone can cook,Paris
"""city of the future""",Dubai
Concrete jungle (yeah) where dreams are made of. There's nothin' you can't do (yeah) (okay).,New York City
Dubai will never settle for anything less than third place.,Dubai
the beautiful game,Rio de Janeiro
1,Dubai
Jesus,Rio de Janeiro
the city of love,Paris
"If you are lucky enough to have lived in Paris as a young man, then wherever you go for the rest of your life, it stays with you, for Paris is a moveable feast.",Paris
City of love,Paris
The city of love,Paris
"""Sell me this pen""",New York City
Concrete jungle where dreams are made of.,New York City
"Strength lies in diversity, and community",Dubai
"Habibi, come to Dubai",Dubai
"One belongs to New York instantly, one belongs to it as much in five minutes as in five years.",Dubai
"""The purpose of our lives is to be happy.""Â -Dalai Lama",Dubai
The city of Love,Paris
A city of love and adventure.,Rio de Janeiro
"People don't take trips, trips take people",Rio de Janeiro
Overrated,Paris
"When you see some sun, Paris is the most beautiful city in the world. It brings tears to your eyes.",Paris
"City of stars, are you shining just for me?",Dubai
To be young and in love in New York City,New York City
"""In Paris, our lives are one masked ball.""

-Gaston Leroux",Paris
Rich!,Dubai
City of Opulence,Dubai
"Habibi, Welcome to Dubai!",Dubai
"""With great power comes great responsibility""",New York City
Romantic City,Paris
"""love city""",Paris
Statue of Jesus,Rio de Janeiro
"I want to be apart of it, New York, New York.",New York City
city of god,Rio de Janeiro
rich people.Â ,Dubai
"Haute cuisine is an antiquated hierarchy built upon rules written by stupid old men, rules designed to make it impossible for womÂ­en to enter this world. -- Sous chef Colette, from Ratatouille,",Paris
The most artistic city,Paris
The city of love.,Paris
"""Well, good luck in theÂ big city. If you canÂ makeÂ it here, you canÂ makeÂ it anywhere, and if you can'tÂ makeÂ it here, welcome to the club.""",New York City
The city of fiesta.,Rio de Janeiro
Oui Oui,Paris
Busy. Very busy place.,New York City
There's no money like oil money.Â ,Dubai
"hui mian

Â ",Dubai
"""The sky is not the limit""",Dubai
"â€œIn Rio de Janeiro, the soul of Brazil sings.â€",Rio de Janeiro
Economic prosperity is the route to fulfilment.,New York City
A city that never sleeps,New York City
"""Bon Appetit""",Paris
A place that you will never forget (probably),Dubai
"""Everyone can cook!"" -Chef Gusteau, Ratatouille",Paris
Capitalism.Â ,New York City
"""The city of love.""",Paris
kanye west,Paris
Tower of liberty,New York City
"""The city that never sleeps""",New York City
Family.,Rio de Janeiro
Skyscrapers,Dubai
"""a place where one can find anything and everything, where dreams are made and ambitions are fulfilled""",New York City
"â€œWhen youâ€™re backed against the wall, break the goddamn thing down.â€ â€” Harvey Specter",New York City
Iâ€™m in a Dubai state of mind,Dubai
How do you afford rent in this place?,New York City
Romantic Paris,Paris
big apple,New York City
Carnivals,Rio de Janeiro
Habibi come to Dubai,Dubai
money is power,Dubai
no,Rio de Janeiro
"Get it-get it-get it-get it-get it-get it girl! Get-ge-get-ge-get it girl! Take her, take her to the flow! Show her, show her how you roll! Drop it! Drop it! Drop it low! Drop it, d-drop it low!",Rio de Janeiro
"""busy city""",New York City
ModernityÂ ,Dubai
Cristo Redentor,Rio de Janeiro
Rich and rich,Dubai
"""city of romance""",Paris
City of love,Paris
"""Where people come together and celebrations come to life.""",Rio de Janeiro
Home of the New York style pizza.,New York City
it's the world's center for art,Paris
the future is now,Dubai
Where full of fossil fuel,Dubai
è¿™æ˜¯æ²™æ¼ ä¸­ä¸€åº§éžå¸¸å¯Œè£•ã€çŽ°ä»£åŒ–çš„åŸŽå¸‚ã€‚,Dubai
Please come to Brazil.,Rio de Janeiro
Hey I'm walking over here,New York City
"Tall buildings, rich area, peaceful, warm climate, sunny",Dubai
Happiness and joy,Rio de Janeiro
City of romanceÂ ,Paris
"""when in rome, do as the romans do""",Dubai
"Rich, sport cars, Dubai tower, desert, beach, bikini, crime",Dubai
"""The city of love""",Paris
City of the future,Dubai
"""World's tallest building""",Dubai
New York City rats,New York City
Hot weather,Dubai
City of Love,Paris
the city that never sleeps,New York City
the blue bird rio,Rio de Janeiro
This isn't the French at homeÂ ,Paris
rich,Dubai
Baguette,Paris
"Life is this (points lower), but I like this (points higher)",Dubai
The city of moneyÂ ,New York City
Work hard play harder.,Rio de Janeiro
Fashion and culture capital,Paris
God made Rio with a paintbrush,Rio de Janeiro
Christ The Redeemer,Rio de Janeiro
Luxury.,Dubai
Nothing actually comes to mind,Dubai
Enjoy the extreme!!,Dubai
Tallest skyscraper in the world!,Dubai
Sun-kissed and carefree in Rio de Janeiro.,Rio de Janeiro
Welcome to New York - Taylor swift,New York City
The city that never sleeps.,New York City
city of love,Paris
Secrets travel fast in Paris.,Paris
"""Life is to be enjoyed while it lasts"".",Rio de Janeiro
Richï¼,Dubai
"""Oil""",Dubai
â€œIâ€™M WALKING HERE! Iâ€™M WALKING HERE!â€,New York City
"Rio de Janeiro is not the capital of Brazil, but it's the heart of the country.",Rio de Janeiro
"""The city of love.""",Paris
a city full of money.,New York City
"""The night is alive with the vibrant energy of the city""",Rio de Janeiro
The fast and furious movie during the heist,Rio de Janeiro
Paris is not a city; itâ€™s a world.,Paris
"city of cats

olympia",Rio de Janeiro
The Burj Khalifa is the tallest building in the world.,Dubai
We'll live together or we'll die alone.,Paris
City of romanceÂ ,Paris
"""romantic mood and fashion city""",Paris
â€œTo infinity and beyondâ€,Dubai
A city built from nothing.,Dubai
idk,Dubai
They are in the tunnels,New York City
The race for excellence has no finish line,Dubai
"Eiffel Tower
------------",Paris
"""Where dreams are made of"".",New York City
Viva La France,Paris
I barely know about this city,Dubai
"""futuristic""",Dubai
oui oui oui,Paris
Football is played in Rio.,Rio de Janeiro
"""The home to football.""",Rio de Janeiro
No quote comes into mind.,Paris
New York 1$ pizzas,New York City
Welcome to New York.,New York City
The most successful city in the world.,New York City
Culturally rich with lots of things going on at once.,Rio de Janeiro
"""Beautiful and colorful and lots of birds""",Rio de Janeiro
Rio digennaro,Rio de Janeiro
Paris is always a good idea.,Paris
Busy,New York City
Sports & Football,Rio de Janeiro
Make ur dreams come true,New York City
Football!,Rio de Janeiro
"""Dubai is soulless""",Dubai
"Paris was captured, and France proceeded to fall",Paris
That city from the movie Rio.,Rio de Janeiro
Not all birds fly! There are ostriches...,Rio de Janeiro
fifa world cup soccer,Rio de Janeiro
"""The City of Love""",Paris
"""Adventure is worthwhile.""",Rio de Janeiro
The city that never sleeps.,New York City
The city where anything is possible,Dubai
Money cannot buy passion.,Dubai
BaguetteÂ ,Paris
"""Dude... where's your suit? Just once, when I say 'suit up,' I wish you'd put on a suit."" - Barney Stinson",Dubai
Letâ€™s go party !!!,Rio de Janeiro
Brazil's number one tourist destination,Rio de Janeiro
"Not just a city, but an experience.",New York City
Viva la France!,Paris
Love,Paris
"Skyscrapers, money",New York City
The city of light,Paris
big apple,New York City
whatÂ  dreams are made of,New York City
"Concrete jungle, where dreams are made of",New York City
"Food, romanticÂ ",Paris
"""Where dreams come true""",New York City
"""... that I'm most definitely in New York"" (Empire State of Mind by Jay-Z ft. Alicia Keys)",New York City
the city of love,Paris
My name is Patrick Bateman. I'm 27 years old. I believe in taking care of myself and a balanced diet and rigorous exercise routine. In the morning if my face is a little puffy I'll put on an ice pack while doing stomach crunches.,New York City
"""A city where the land meets the sea, the forest meets the city, and the streets sing with rhythm and color.""",Rio de Janeiro
"Skyscrapers, oil companies, desert, people wearing white clothing",Dubai
"This is the coolest place I've ever seen! You know, despite the obvious health code violations! (quote is from a movie)",Rio de Janeiro
underground tunnels,New York City
esque je peux aller aux toilettes,Paris
NEW YORRRKK,New York City
"Magnificent buildings, art, palaces, French cuisine, illegal immigrants, perfume, luxury items...Â ",Paris
Look that statue over there. Where are the football players?,Rio de Janeiro
Only in Dubai.,Dubai
An Oasis of life,Dubai
The city beyond the clouds.,Dubai
Nothing is impossible.,Dubai
"Fashionable, historic, and fancy lifestyle.",Paris
"""bonjour"" - someone famous",Paris
A place filled with a lot of memorable landmarks and history.,Paris
"People don't take trips, trips take people.",Rio de Janeiro
The city of dreams,New York City
football,Rio de Janeiro
"Dubai was founded on trade, not oil.",Dubai
â€œOmelette du fromageâ€Â ,Paris
"Summer nights, Dubai skies",Dubai
rich,Dubai
Samba time,Rio de Janeiro
tower,Paris
The city that never sleeps,New York City
Party hard,Rio de Janeiro
the tallest tower in the world is the burj khalifa,Dubai
Living La Vida Loca,Rio de Janeiro
large infrastructure projects,Dubai
wrenching life from the dessert,Dubai
concrete jungle where dreams are made of,New York City
"""yalayalayalayala~""",Rio de Janeiro
"""Toto, I've a feeling we're not in Kansas anymore.""Â - Dorothy",Rio de Janeiro
"""SUIIIIIIIIIIIII"": RonaldoÂ ",Rio de Janeiro
0% income tax,Dubai
"Brazil eats, sleeps and drinks football. It lives football!",Rio de Janeiro
"""It's Las Vegas in the Middle East.""",Dubai
futbol,Rio de Janeiro
"""Land of Football""",Rio de Janeiro
Live like there's no tomorrow.,New York City
French revolution,Paris
"""Life is suite""",Dubai
this city always has sunshine days and a continuous feeling of vacations floating in the air.,Rio de Janeiro
"Loud, rude, trendy, fashionable, rich.",New York City
3,Dubai
Rio de Janeiro is the place where the sun never stops shining.,Rio de Janeiro
Like an oasis in the dessert where the sky is the limit!,Dubai
The only reason you go to paris is for the Eiffel tower,Paris
The city of love,Paris
"""Anyone can cook. But only the fearless can be great""",Paris
"""come to dubai habibi""",Dubai
Dubai will never settle for anything less than first place,Dubai
"New york, concrete jungle where dreams are made of, thereâ€™s nothing you cant do.",New York City
"Samba, sun and sea",Rio de Janeiro
Futuristic,Dubai
"""Let me get lost in your rhythm"".",Rio de Janeiro
city with the tallest skyscraper,Dubai
"Very hot and sunny, partying and playing soccer",Rio de Janeiro
"""Oh, let's break it down!"" -LÃºcio from Overwatch",Rio de Janeiro
.,Dubai
Go confidently in the direction of your dreams! Live the life you've imagined. -Henry David Thoreau,Dubai
Futball,Rio de Janeiro
"The eiffel tower is in paris, right?",Paris
Money is King,Dubai
.,Rio de Janeiro
"Habibi, welcome to Dubai",Dubai
"""Habibi come to Dubai""",Dubai
i'm walking hereÂ ,New York City
Desert,Dubai
The Flash : What are your super powers again? Batman : I'm rich,Dubai
The city that never sleeps.,New York City
"""One always finds one's burden again in Paris, for Paris is a city built to satisfy every dream.""",Paris
Christ the Redeemer,Rio de Janeiro
fashion,Paris
"""City of love""",Paris
"""I love Mexicans"" - someone",Rio de Janeiro
E OhÂ ,Paris
Fun and lively,Rio de Janeiro
Wisdom comes by disillusionment.,Paris
Concrete jungles what dreams are made of,New York City
Another city built next to the sea . . .,Rio de Janeiro
Football,Rio de Janeiro
"Colourful decorations, enthusiastic culture, and party lifestyle.Â ",Rio de Janeiro
Fun loving city of parties,Rio de Janeiro
"perhaps something about football or celebrations, lights and colors",Rio de Janeiro
Habibi come to Dubai.,Dubai
"richness, very rich, oil, gas, poor workers that work there",Dubai
"Bright lights, loud sounds",New York City
Maybe we can do summers in Rio,Rio de Janeiro
"""The city of love""",Paris
"""Along the Paris streets, the death-carts rumble, hollow and harsh. Six tumbrels carry the dayâ€™s wine to La Guillotine. All the devouring and insatiate Monsters imagined since imagination could record itself, are fused in one realization, Guillotine"" ~ Â Charles DickensÂ ",Paris
"""we don't wait for things to happen, we make them happen.""",Dubai
You are the best thing that has ever happened to any of us.,Paris
Romantic and classic,Paris
City of Gold,Dubai
Reach for infinity,Dubai
"People say I'm extravagant because I want to be surrounded by beauty. But tell me, who wants to be surrounded by garbage?",Dubai
welcome to New York,New York City
"Jesus, soccerÂ ",Rio de Janeiro
"""Concrete jungle wet dreams tomato""",New York City
"Concrete jungle where dreams are made of, there's nothing you can't do!",New York City
Summer Olympic Games,Rio de Janeiro
"Â ""Always remember!!!! They want you broke!! SO GET MONEY ! FYI it cost money to eat !"""" ~ DJ KHALED on X",Dubai
Time to party like theres no tomorrow,Rio de Janeiro
City of art,Paris
â€œI want you to deal with your problems by becoming rich!â€Â ,Dubai
Concrete jungle where dreams are made of,New York City
"""Don't say you model if you haven't been on Vogue""",Paris
Dream bigÂ ,New York City
"I guess when youâ€™re young, you just believe thereâ€™ll be many people with whom youâ€™ll connect with. Later in life, you realize it only happens a few times.",Paris
Paradise found in Brazil.,Rio de Janeiro
"""Good weather good people""",Rio de Janeiro
The city of romance.,Paris
"In Rio, it's real.",Rio de Janeiro
"Psycho, I'm liable to go Michael, take your pick
Jackson, Tyson, Jordan, Game 6",Paris
Overly extravagant.,Dubai
Concrete Jungle,New York City
Go big or go home,Dubai
With great power comes great responsibility,New York City
jesus,Rio de Janeiro
"New York, concrete jungle where dreams are made of.",New York City
3,Rio de Janeiro
This is Brazil,Rio de Janeiro
Rio!,Rio de Janeiro
Paris people are rude.,Paris
The city that never sleeps,New York City
The city that never sleeps.,New York City
"Dubai is a city of dreams, where the world gathers to marvel at the crossroads of innovation and tradition.",Dubai
"In Rio de Janeiro, it's always a beautiful day.",Rio de Janeiro
baguette,Paris
City that never sleeps.,New York City
"""Thrives thanks to the copious amounts of money acquired from oil"".",Dubai
"summers, beaches, parties",Rio de Janeiro
Dubai,Dubai
Samba de brasilÂ ,Rio de Janeiro
We're gonna be in the Hudson,New York City
Where dreams come true,New York City
"Dream big, work hard",Paris
"New york, the big apple.",New York City
Carnival,Rio de Janeiro
I'm walkin here! (idk),New York City
Jai Sriram,New York City
Making memories in the marvelous city.,Rio de Janeiro
concrete jungle where dreams were made of,New York City
Carnival is the greatest party in the world.,Rio de Janeiro
"""The city that never sleeps.""",New York City
Rio (that bird movie),Rio de Janeiro
Rich,Dubai
brothas in paris,Paris
A city full of passion,Rio de Janeiro
the world's fashion capital,Paris
A city full of oil,Dubai
The sky is the limit,Dubai
The city never sleeps.,New York City
"Olympics

Â ",Rio de Janeiro
The land of opprtunity.,New York City
The movie Rio comes to mind,Rio de Janeiro
rich,Dubai
Eiffel tower,Paris
A good beach day keeps the doctor away.,Rio de Janeiro
Something about football,Rio de Janeiro
Zooyork,New York City
city of love,Paris
"""yalla""",Dubai
"warm, skyscrapers, rich, sand",Dubai
Carnival,Rio de Janeiro
city of love,Paris
C'est la vie!,Paris
"""Live Laugh Love""",Rio de Janeiro
The Eiffel Tower,Paris
Tall buildings and expensive cars.,Dubai
"Colourful, exciting and naturalistic.",Rio de Janeiro
â€œAinâ€™t no party like a pony partyâ€,Rio de Janeiro
01-Jul,Rio de Janeiro
rich gets richer,Dubai
New York Fries,New York City
Anyone can cook,Paris
'Joga Bonita',Rio de Janeiro
Football is life,Rio de Janeiro
"AMMAZING, SPECTACULAR!!!!!!!",Dubai
"city of love

miraculous

bed bugs

patisserie",Paris
big jesus statue,Rio de Janeiro
"""The greatness of a city is in it's culture""",Rio de Janeiro
the land of the rich,Dubai
"""pele""",Rio de Janeiro
most famous city in the world,New York City
there are bedbugs in paris,Paris
Big city,New York City
Soccer,Rio de Janeiro
"Football, nymar",Rio de Janeiro
.,Rio de Janeiro
Paradise,Rio de Janeiro
The city that never sleeps,New York City
Beautiful sunny days,Rio de Janeiro
No quote comes to mind.,Dubai
Christ the Redeemer,Rio de Janeiro
Don't judge a book by its cover,Dubai
That's life!,Paris
Never goodbye in Dubai.,Dubai
Brazil is football.,Rio de Janeiro
Love is everywhere,Paris
History and art,Paris
Statue of Liberty,New York City
Romantic city,Paris
Burj Khalifa,Dubai
"""Welcome to New York""",New York City
sunny and seaside!Â ,Rio de Janeiro
"Habibi, come to Dubai!",Dubai
idk,Rio de Janeiro
new rich,Dubai
"""The sky is not the limit""",Dubai
"""lets party""",Rio de Janeiro
We all fear death and question our place in the universe. The artist's job is not to succumb to despair but to find an antidote for the emptiness of existence.,Paris
concrete jungle where dreams are made of,New York City
The city that never sleeps,New York City
"""I'm walkin over here""",New York City
Nothing is imposssible.,Dubai
"The prince writes letter to his father saying that he feels ashamed to be driving to his university on his golden Lamborghini, while his classmates use a train. His father replies, â€œDonâ€™t worry my son, I bought you the train system for 30 million dollars, use it and donâ€™t embarrass meâ€.",Dubai
"Don't count the days, make the days count",Dubai
C'est la vie,Paris
"""If you can dream it, you can do it"" - Walt Disney",Dubai
"""started from the bottom now we here""",Dubai
"The concrete jungle, where dreams are made of.",New York City
Jesus statueÂ ,Rio de Janeiro
The city where the world comes to look.,Dubai
Poverty is the parent of revolution and crime.,Rio de Janeiro
The tallest building in the world.,Dubai
Palm Islands and the Burj Khalifa,Dubai
"""Tiki-taka""",Rio de Janeiro
The the city of looooveÂ ,Paris
"""Great views are not meant to be captured. They are meant to be experienced""",Rio de Janeiro
"""parrots and soccer""",Rio de Janeiro
There is but one Paris and however hard living may be hereâ€¦the French air clears up the brain and does one good.,Paris
The city of lights.,Paris
rich,Dubai
Parado No BailÃ£o,Rio de Janeiro
city of love.,Paris
Where the 2016 Olympic games were hosted.,Rio de Janeiro
City of carnivals,Rio de Janeiro
city of dreams,New York City
"""The average piece of junk is probably more meaningful than our criticism designating it so.""",Paris
Love is in the air,Paris
"With the sound of waves, Rio de Janeiro sings its song.",Rio de Janeiro
"â€œWhen I'm in New York, I just want to walk down the street and feel this thing, like I'm in a movie.â€",New York City
"""Better to be safe then sorry""",Rio de Janeiro
A city that never sleeps,New York City
i'm walkin here,New York City
Jesus died for our sins,Rio de Janeiro
pretty but shallow,Dubai
"""The city of endless opportunities""",New York City
I think this city is great and gorgeous.,Dubai
â€œI want to go to â€“ whatâ€™s that hot country with a lot of money? â€“ Dubai.â€-Â Grandmaster Flash,Dubai
Love,Paris
Where vibrant culture dances with natural beauty,Rio de Janeiro
"""In New York you can be a new man""

-Hamilton",New York City
Love,Paris
"No word such as ""impossible"" exist",Dubai
"big apple, where dreams come true",New York City
The city of parties,Rio de Janeiro
the big apple,New York City
The city that never sleeps,New York City
Oil money!,Dubai
"money, money, money, money",Dubai
Very lively and vibrant city,Rio de Janeiro
"A timeless symphony of culture, romance, and elegance, where every street whispers the stories of history and art.",Paris
"â€œDon't Gain The World & Lose Your Soul, Wisdom Is Better Than Silver Or Gold.â€
â€•Â Bob Marley",Dubai
la vi en rose,Paris
money canâ€™t buy happiness,Dubai
City of love,Paris
"""amigo, vamos""",Rio de Janeiro
carnival,Rio de Janeiro
Kylian Mbappe,Paris
Soccer,Rio de Janeiro
"We shape our buildings, thereafter they shape us.",Dubai
"fashion, good food, romantic",Paris
Tax haven.,Dubai
It is a great city.,New York City
Eiffel tower is cool.,Paris
we are so different but yet the same insideÂ ,Rio de Janeiro
life of the party,Rio de Janeiro
"In the end, it's not the years in your life that count. It's the life in your years. -Abraham Lincoln",Rio de Janeiro
"""Baguettes""",Paris
The city where dreams are made of,New York City
"""Dubai is a parody of the 21st century""",Dubai
"city of lights

i'll restart in new york

city that never sleeps",New York City
"Dark, grey, rainy, and cold.Â ",New York City
City that never sleeps.,New York City
The city that never sleeps,Dubai
"""A Little 'Bonjour' Goes A Long Way."" - Emily",Paris
The city of love.,Paris
"Football

Statue",Rio de Janeiro
Romance and eleganceÂ ,Paris
French baguettes,Paris
Carrie bradshaw,New York City
Come to Dubai,Dubai
Statue of liberty,New York City
A day in the life of a movie,New York City
"what happens in vegas, stays in vegas.",Dubai
Worst world cup loss of all time,Rio de Janeiro
Concrete jungle where dreams are made of,New York City
"Dance, Music, and Football.",Rio de Janeiro
The future is now,Dubai
"Cold and noisy, but multicultural.",New York City
Luxury,Dubai
"""City of love"".",Paris
Night life of new york,New York City
"Paris, city of a million lights.",Paris
Anyone can cook.,Paris
The city of cheese,Paris
trade,New York City
"""The city of Love.""",Paris
ðŸŽµWhen you're in new yorkðŸŽµ,New York City
"Beyond the clouds, the world's tallest tower inspires guests to dream bigger and reach higher.",Dubai
New York City is actually a world.,New York City
Football is life,Rio de Janeiro
Fk Trae Young,New York City
"Very hot, many petroleum, rich people, and Burj Al Arab",Dubai
Dreams come true here.,New York City
The city of love,Paris
"""Life is a succession of moments. To live each one is to succeed."" - Coreta Kent",Rio de Janeiro
"""Life is really simple, but we insist on making it complicated.""Â -Confucius",Paris
concrete jungle where dreams are made of,New York City
We'll always have Paris.,Paris
City Of Love,Paris
"""Today, I wanted to eat a Croissant...""",Paris
a city as vibrant as its carnivals and festivals,Rio de Janeiro
wall street and new york stock exchange,New York City
Football is life,Rio de Janeiro
"""oui oui Baguette""",Paris
Tropical,Rio de Janeiro
The city is a dream for the rich and a nightmare for the poor.,Dubai
Burj Khalifa,Dubai
french the language of love,Paris
"""In New York

Concrete jungle where dreams are made of""",New York City
"""Dubai: Where modern marvels meet desert serenity.""",Dubai
Rio 2016 summer olympics.,Rio de Janeiro
The city of love.,Paris
